发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间
20211019073338,关,关,关,29°C,0%,0,0分钟
20211019073350,关,关,关,30°C,0%,0,0分钟
20211019073411,关,关,关,29°C,0%,0,0分钟
20211019073426,关,关,关,30°C,0%,0,0分钟
20211019073438,关,关,关,29°C,0%,0,0分钟
20211019073457,关,关,关,30°C,0%,0,0分钟
20211019073521,关,关,关,29°C,0%,0,0分钟
20211019073539,关,关,关,30°C,0%,0,0分钟
20211019073551,关,关,关,29°C,0%,0,0分钟
20211019073621,关,关,关,30°C,0%,0,0分钟
20211019073640,关,关,关,29°C,0%,0,0分钟
20211019073658,关,关,关,30°C,0%,0,0分钟
20211019073704,关,关,关,29°C,0%,0,0分钟
20211019073710,关,关,关,30°C,0%,0,0分钟
20211019073716,关,关,关,29°C,0%,0,0分钟
20211019073752,关,关,关,30°C,0%,0,0分钟
20211019073758,关,关,关,29°C,0%,0,0分钟
20211019073814,关,关,关,30°C,0%,0,0分钟
20211019073816,关,关,关,30°C,0%,8,0分钟
20211019073835,关,关,关,29°C,0%,0,0分钟
20211019073923,关,关,关,30°C,0%,0,0分钟
20211019074000,关,关,关,29°C,0%,0,0分钟
20211019074018,关,关,关,30°C,0%,0,0分钟
20211019074030,关,关,关,29°C,0%,0,0分钟
20211019074100,关,关,关,30°C,0%,0,0分钟
20211019074149,关,关,关,29°C,0%,0,0分钟
20211019074231,关,关,关,30°C,0%,0,0分钟
20211019074237,关,关,关,29°C,0%,0,0分钟
20211019074301,关,关,关,30°C,0%,0,0分钟
20211019074307,关,关,关,29°C,0%,0,0分钟
20211019074325,关,关,关,30°C,0%,0,0分钟
20211019074338,关,关,关,29°C,0%,0,0分钟
20211019074344,关,关,关,30°C,0%,0,0分钟
20211019074350,关,关,关,29°C,0%,0,0分钟
20211019074450,关,关,关,30°C,0%,0,0分钟
20211019074502,关,关,关,29°C,0%,0,0分钟
20211019074508,关,关,关,30°C,0%,0,0分钟
20211019074533,关,关,关,29°C,0%,0,0分钟
20211019074615,关,关,关,30°C,0%,0,0分钟
20211019074633,关,关,关,29°C,0%,0,0分钟
20211019074639,关,关,关,30°C,0%,0,0分钟
20211019074657,关,关,关,29°C,0%,0,0分钟
20211019074710,关,关,关,30°C,0%,0,0分钟
20211019074716,关,关,关,29°C,0%,0,0分钟
20211019074728,关,关,关,30°C,0%,0,0分钟
20211019074734,关,关,关,29°C,0%,0,0分钟
20211019074752,关,关,关,30°C,0%,0,0分钟
20211019074810,关,关,关,29°C,0%,0,0分钟
20211019074822,关,关,关,30°C,0%,0,0分钟
20211019074834,关,关,关,29°C,0%,0,0分钟
20211019074840,关,关,关,30°C,0%,0,0分钟
20211019074847,关,关,关,29°C,0%,0,0分钟
20211019074859,关,关,关,30°C,0%,0,0分钟
20211019074905,关,关,关,29°C,0%,0,0分钟
20211019074929,关,关,关,30°C,0%,0,0分钟
20211019074941,关,关,关,29°C,0%,0,0分钟
20211019074959,关,关,关,30°C,0%,0,0分钟
20211019075005,关,关,关,29°C,0%,0,0分钟
20211019075225,关,关,关,30°C,0%,0,0分钟
20211019075231,关,关,关,29°C,0%,0,0分钟
20211019075237,关,关,关,30°C,0%,0,0分钟
20211019075243,关,关,关,29°C,0%,0,0分钟
20211019075301,关,关,关,30°C,0%,0,0分钟
20211019075313,关,关,关,29°C,0%,0,0分钟
20211019075319,关,关,关,30°C,0%,0,0分钟
20211019075325,关,关,关,29°C,0%,0,0分钟
20211019075426,关,关,关,30°C,0%,0,0分钟
20211019075502,关,关,关,29°C,0%,0,0分钟
20211019075514,关,关,关,30°C,0%,0,0分钟
20211019075520,关,关,关,29°C,0%,0,0分钟
20211019075526,关,关,关,30°C,0%,0,0分钟
20211019075532,关,关,关,29°C,0%,0,0分钟
20211019075538,关,关,关,30°C,0%,0,0分钟
20211019075545,关,关,关,29°C,0%,0,0分钟
20211019075551,关,关,关,30°C,0%,0,0分钟
20211019075603,关,关,关,29°C,0%,0,0分钟
20211019075609,关,关,关,30°C,0%,0,0分钟
20211019075621,关,关,关,29°C,0%,0,0分钟
20211019075627,关,关,关,30°C,0%,0,0分钟
20211019075633,关,关,关,29°C,0%,0,0分钟
20211019075639,关,关,关,30°C,0%,0,0分钟
20211019075645,关,关,关,29°C,0%,0,0分钟
20211019075703,关,关,关,30°C,0%,0,0分钟
20211019075715,关,关,关,29°C,0%,0,0分钟
20211019075721,关,关,关,30°C,0%,0,0分钟
20211019075734,关,关,关,29°C,0%,0,0分钟
20211019075740,关,关,关,30°C,0%,0,0分钟
20211019075752,关,关,关,29°C,0%,0,0分钟
20211019075758,关,关,关,30°C,0%,0,0分钟
20211019075804,关,关,关,29°C,0%,0,0分钟
20211019075816,关,关,关,30°C,0%,0,0分钟
20211019075828,关,关,关,29°C,0%,0,0分钟
20211019075846,关,关,关,30°C,0%,0,0分钟
20211019075923,关,关,关,29°C,0%,0,0分钟
20211019075935,关,关,关,30°C,0%,0,0分钟
20211019075947,关,关,关,29°C,0%,0,0分钟
20211019075953,关,关,关,30°C,0%,0,0分钟
20211019080001,关,关,关,29°C,0%,0,0分钟
20211019080005,关,关,关,30°C,0%,0,0分钟
20211019080011,关,关,关,29°C,0%,0,0分钟
20211019080017,关,关,关,30°C,0%,0,0分钟
20211019080035,关,关,关,29°C,0%,0,0分钟
20211019080041,关,关,关,30°C,0%,0,0分钟
20211019080053,关,关,关,29°C,0%,0,0分钟
20211019080106,关,关,关,30°C,0%,0,0分钟
20211019080112,关,关,关,29°C,0%,0,0分钟
20211019080118,关,关,关,30°C,0%,0,0分钟
20211019080124,关,关,关,29°C,0%,0,0分钟
20211019080130,关,关,关,30°C,0%,0,0分钟
20211019080154,关,关,关,29°C,0%,0,0分钟
20211019080200,关,关,关,30°C,0%,0,0分钟
20211019080212,关,关,关,29°C,0%,0,0分钟
20211019080249,关,关,关,30°C,0%,0,0分钟
20211019080255,关,关,关,30°C,0%,0,0分钟
20211019080301,关,关,关,29°C,0%,0,0分钟
20211019080307,关,关,关,30°C,0%,0,0分钟
20211019080319,关,关,关,29°C,0%,0,0分钟
20211019080325,关,关,关,30°C,0%,0,0分钟
20211019080337,关,关,关,29°C,0%,0,0分钟
20211019080349,关,关,关,30°C,0%,0,0分钟
20211019080355,关,关,关,29°C,0%,0,0分钟
20211019080401,关,关,关,30°C,0%,0,0分钟
20211019080407,关,关,关,29°C,0%,0,0分钟
20211019080419,关,关,关,30°C,0%,0,0分钟
20211019080425,关,关,关,29°C,0%,0,0分钟
20211019080438,关,关,关,30°C,0%,0,0分钟
20211019080444,关,关,关,29°C,0%,0,0分钟
20211019080450,关,关,关,30°C,0%,0,0分钟
20211019080456,关,关,关,29°C,0%,0,0分钟
20211019080502,关,关,关,30°C,0%,0,0分钟
20211019080520,关,关,关,29°C,0%,0,0分钟
20211019080556,关,关,关,30°C,0%,0,0分钟
20211019080602,关,关,关,29°C,0%,0,0分钟
20211019080608,关,关,关,30°C,0%,0,0分钟
20211019080615,关,关,关,29°C,0%,0,0分钟
20211019080627,关,关,关,30°C,0%,0,0分钟
20211019080633,关,关,关,29°C,0%,0,0分钟
20211019080639,关,关,关,30°C,0%,0,0分钟
20211019080645,关,关,关,29°C,0%,0,0分钟
20211019080651,关,关,关,30°C,0%,0,0分钟
20211019080704,关,关,关,29°C,0%,0,0分钟
20211019080727,关,关,关,30°C,0%,0,0分钟
20211019080733,关,关,关,29°C,0%,0,0分钟
20211019080739,关,关,关,30°C,0%,0,0分钟
20211019080751,关,关,关,29°C,0%,0,0分钟
20211019080757,关,关,关,30°C,0%,0,0分钟
20211019080804,关,关,关,29°C,0%,0,0分钟
20211019080816,关,关,关,30°C,0%,0,0分钟
20211019080846,关,关,关,29°C,0%,0,0分钟
20211019080852,关,关,关,30°C,0%,0,0分钟
20211019080904,关,关,关,29°C,0%,0,0分钟
20211019080916,关,关,关,30°C,0%,0,0分钟
20211019080925,关,关,关,29°C,0%,0,0分钟
20211019080928,关,关,关,30°C,0%,0,0分钟
20211019080947,关,关,关,29°C,0%,0,0分钟
20211019080953,关,关,关,30°C,0%,0,0分钟
20211019081011,关,关,关,29°C,0%,0,0分钟
20211019081023,关,关,关,30°C,0%,0,0分钟
20211019081029,关,关,关,29°C,0%,0,0分钟
20211019081035,关,关,关,30°C,0%,0,0分钟
20211019081041,关,关,关,29°C,0%,0,0分钟
20211019081105,关,关,关,30°C,0%,0,0分钟
20211019081117,关,关,关,29°C,0%,0,0分钟
20211019081124,关,关,关,30°C,0%,0,0分钟
20211019081130,关,关,关,29°C,0%,0,0分钟
20211019081146,关,关,关,30°C,0%,0,0分钟
20211019081148,关,关,关,29°C,0%,0,0分钟
20211019081154,关,关,关,30°C,0%,0,0分钟
20211019081212,关,关,关,29°C,0%,0,0分钟
20211019081218,关,关,关,30°C,0%,0,0分钟
20211019081230,关,关,关,29°C,0%,0,0分钟
20211019081242,关,关,关,30°C,0%,0,0分钟
20211019081254,关,关,关,29°C,0%,0,0分钟
20211019081306,关,关,关,30°C,0%,0,0分钟
20211019081313,关,关,关,29°C,0%,0,0分钟
20211019081325,关,关,关,30°C,0%,0,0分钟
20211019081337,关,关,关,29°C,0%,0,0分钟
20211019081343,关,关,关,30°C,0%,0,0分钟
20211019081355,关,关,关,29°C,0%,0,0分钟
20211019081407,关,关,关,30°C,0%,0,0分钟
20211019081413,关,关,关,29°C,0%,0,0分钟
20211019081419,关,关,关,30°C,0%,0,0分钟
20211019081425,关,关,关,29°C,0%,0,0分钟
20211019081431,关,关,关,30°C,0%,0,0分钟
20211019081437,关,关,关,29°C,0%,0,0分钟
20211019081443,关,关,关,30°C,0%,0,0分钟
20211019081455,关,关,关,29°C,0%,0,0分钟
20211019081502,关,关,关,30°C,0%,0,0分钟
20211019081614,关,关,关,29°C,0%,0,0分钟
20211019081628,关,关,关,30°C,0%,0,0分钟
20211019081651,关,关,关,29°C,0%,0,0分钟
20211019081751,关,关,关,30°C,0%,0,0分钟
20211019081757,关,关,关,29°C,0%,0,0分钟
20211019081803,关,关,关,30°C,0%,0,0分钟
20211019081809,关,关,关,29°C,0%,0,0分钟
20211019081858,关,关,关,30°C,0%,0,0分钟
20211019081922,关,关,关,29°C,0%,0,0分钟
20211019081946,关,关,关,30°C,0%,0,0分钟
20211019082004,关,关,关,29°C,0%,0,0分钟
20211019082035,关,关,关,30°C,0%,0,0分钟
20211019082059,关,关,关,29°C,0%,0,0分钟
20211019082123,关,关,关,30°C,0%,0,0分钟
20211019082147,关,关,关,29°C,0%,0,0分钟
20211019082200,关,关,关,30°C,0%,0,0分钟
20211019082224,关,关,关,29°C,0%,0,0分钟
20211019082242,关,关,关,30°C,0%,0,0分钟
20211019082306,关,关,关,29°C,0%,0,0分钟
20211019082407,关,关,关,30°C,0%,0,0分钟
20211019082419,关,关,关,30°C,0%,0,0分钟
20211019082501,关,关,关,29°C,0%,0,0分钟
20211019082507,关,关,关,30°C,0%,0,0分钟
20211019082538,关,关,关,29°C,0%,0,0分钟
20211019082544,关,关,关,30°C,0%,0,0分钟
20211019082602,关,关,关,29°C,0%,0,0分钟
20211019082608,关,关,关,30°C,0%,0,0分钟
20211019082614,关,关,关,29°C,0%,0,0分钟
20211019082620,关,关,关,30°C,0%,0,0分钟
20211019082632,关,关,关,29°C,0%,0,0分钟
20211019082638,关,关,关,30°C,0%,0,0分钟
20211019082715,关,关,关,29°C,0%,0,0分钟
20211019082721,关,关,关,30°C,0%,0,0分钟
20211019082813,关,关,关,29°C,0%,0,0分钟
20211019082815,关,关,关,30°C,0%,0,0分钟
20211019082833,关,关,关,29°C,0%,0,0分钟
20211019082839,关,关,关,30°C,0%,0,0分钟
20211019082910,关,关,关,29°C,0%,0,0分钟
20211019082916,关,关,关,30°C,0%,0,0分钟
20211019082940,关,关,关,29°C,0%,0,0分钟
20211019082946,关,关,关,30°C,0%,0,0分钟
20211019082952,关,关,关,29°C,0%,0,0分钟
20211019082958,关,关,关,30°C,0%,0,0分钟
20211019083117,关,关,关,29°C,0%,0,0分钟
20211019083123,关,关,关,30°C,0%,0,0分钟
20211019083147,关,关,关,29°C,0%,0,0分钟
20211019083153,关,关,关,30°C,0%,0,0分钟
20211019083223,关,关,关,29°C,0%,0,0分钟
20211019083236,关,关,关,30°C,0%,0,0分钟
20211019083318,关,关,关,29°C,0%,0,0分钟
20211019083324,关,关,关,30°C,0%,0,0分钟
20211019083342,关,关,关,29°C,0%,0,0分钟
20211019083354,关,关,关,30°C,0%,0,0分钟
20211019083449,关,关,关,29°C,0%,0,0分钟
20211019083501,关,关,关,30°C,0%,0,0分钟
20211019083519,关,关,关,29°C,0%,0,0分钟
20211019083531,关,关,关,30°C,0%,0,0分钟
20211019083549,关,关,关,29°C,0%,0,0分钟
20211019083555,关,关,关,30°C,0%,0,0分钟
20211019083620,关,关,关,29°C,0%,0,0分钟
20211019083626,关,关,关,30°C,0%,0,0分钟
20211019083644,关,关,关,29°C,0%,0,0分钟
20211019083650,关,关,关,30°C,0%,0,0分钟
20211019083714,关,关,关,29°C,0%,0,0分钟
20211019083726,关,关,关,30°C,0%,0,0分钟
20211019083745,关,关,关,29°C,0%,0,0分钟
20211019083751,关,关,关,30°C,0%,0,0分钟
20211019083809,关,关,关,29°C,0%,0,0分钟
20211019083821,关,关,关,30°C,0%,0,0分钟
20211019083845,关,关,关,29°C,0%,0,0分钟
20211019083851,关,关,关,30°C,0%,0,0分钟
20211019083909,关,关,关,29°C,0%,0,0分钟
20211019083922,关,关,关,30°C,0%,0,0分钟
20211019083958,关,关,关,29°C,0%,0,0分钟
20211019084004,关,关,关,30°C,0%,0,0分钟
20211019084010,关,关,关,29°C,0%,0,0分钟
20211019084022,关,关,关,30°C,0%,0,0分钟
20211019084147,关,关,关,29°C,0%,0,0分钟
20211019084159,关,关,关,30°C,0%,0,0分钟
20211019084241,关,关,关,29°C,0%,0,0分钟
20211019084253,关,关,关,30°C,0%,0,0分钟
20211019084306,关,关,关,29°C,0%,0,0分钟
20211019084330,关,关,关,30°C,0%,0,0分钟
20211019084342,关,关,关,29°C,0%,0,0分钟
20211019084348,关,关,关,30°C,0%,0,0分钟
20211019084406,关,关,关,29°C,0%,0,0分钟
20211019084412,关,关,关,30°C,0%,0,0分钟
20211019084424,关,关,关,29°C,0%,0,0分钟
20211019084439,关,关,关,30°C,0%,0,0分钟
20211019084443,关,关,关,29°C,0%,0,0分钟
20211019084455,关,关,关,30°C,0%,0,0分钟
20211019084601,关,关,关,29°C,0%,0,0分钟
20211019084607,关,关,关,30°C,0%,0,0分钟
20211019084626,关,关,关,29°C,0%,0,0分钟
20211019084644,关,关,关,30°C,0%,0,0分钟
20211019084708,关,关,关,29°C,0%,0,0分钟
20211019084714,关,关,关,30°C,0%,0,0分钟
20211019084750,关,关,关,29°C,0%,0,0分钟
20211019084756,关,关,关,30°C,0%,0,0分钟
20211019084802,关,关,关,29°C,0%,0,0分钟
20211019084808,关,关,关,30°C,0%,0,0分钟
20211019084851,关,关,关,29°C,0%,0,0分钟
20211019084903,关,关,关,30°C,0%,0,0分钟
20211019084922,关,关,关,29°C,0%,0,0分钟
20211019084927,关,关,关,30°C,0%,0,0分钟
20211019085040,关,关,关,29°C,0%,0,0分钟
20211019085058,关,关,关,30°C,0%,0,0分钟
20211019085217,关,关,关,29°C,0%,0,0分钟
20211019085229,关,关,关,30°C,0%,0,0分钟
20211019085442,关,关,关,29°C,0%,0,0分钟
20211019085448,关,关,关,30°C,0%,0,0分钟
20211019085500,关,关,关,29°C,0%,0,0分钟
20211019085507,关,关,关,30°C,0%,0,0分钟
20211019085525,关,关,关,29°C,0%,0,0分钟
20211019085531,关,关,关,30°C,0%,0,0分钟
20211019085543,关,关,关,29°C,0%,0,0分钟
20211019085549,关,关,关,30°C,0%,0,0分钟
20211019085625,关,关,关,29°C,0%,0,0分钟
20211019085631,关,关,关,30°C,0%,0,0分钟
20211019085637,关,关,关,29°C,0%,0,0分钟
20211019085643,关,关,关,30°C,0%,0,0分钟
20211019085738,关,关,关,29°C,0%,0,0分钟
20211019085750,关,关,关,30°C,0%,0,0分钟
20211019085846,关,关,关,29°C,0%,0,0分钟
20211019085851,关,关,关,30°C,0%,0,0分钟
20211019085857,关,关,关,29°C,0%,0,0分钟
20211019085903,关,关,关,30°C,0%,0,0分钟
20211019085921,关,关,关,29°C,0%,0,0分钟
20211019085927,关,关,关,30°C,0%,0,0分钟
20211019085957,关,关,关,29°C,0%,0,0分钟
20211019090003,关,关,关,30°C,0%,0,0分钟
20211019090009,关,关,关,29°C,0%,0,0分钟
20211019090021,关,关,关,30°C,0%,0,0分钟
20211019090027,关,关,关,29°C,0%,0,0分钟
20211019090040,关,关,关,30°C,0%,0,0分钟
20211019090158,关,关,关,29°C,0%,0,0分钟
20211019090204,关,关,关,30°C,0%,0,0分钟
20211019090217,关,关,关,29°C,0%,0,0分钟
20211019090223,关,关,关,30°C,0%,0,0分钟
20211019090253,关,关,关,29°C,0%,0,0分钟
20211019090259,关,关,关,30°C,0%,0,0分钟
20211019090524,关,关,关,29°C,0%,0,0分钟
20211019090530,关,关,关,30°C,0%,0,0分钟
20211019090555,关,关,关,29°C,0%,0,0分钟
20211019090601,关,关,关,30°C,0%,0,0分钟
20211019090655,关,关,关,29°C,0%,0,0分钟
20211019090701,关,关,关,30°C,0%,0,0分钟
20211019090707,关,关,关,29°C,0%,0,0分钟
20211019090713,关,关,关,30°C,0%,0,0分钟
20211019090927,关,关,关,29°C,0%,0,0分钟
20211019090933,关,关,关,30°C,0%,0,0分钟
20211019091210,关,关,关,29°C,0%,0,0分钟
20211019091216,关,关,关,30°C,0%,0,0分钟
20211019094606,关,关,关,29°C,0%,0,0分钟
20211019094636,关,关,关,29°C,0%,0,0分钟
20211019094638,关,关,关,29°C,0%,16,0分钟
20211019094640,关,关,关,29°C,0%,13,0分钟
20211019094658,关,关,关,29°C,0%,0,0分钟
20211019094715,关,关,关,29°C,0%,20,0分钟
20211019111443,关,关,关,29°C,0%,0,0分钟
20211019111448,关,关,关,29°C,0%,0,0分钟
20211019111453,关,关,关,29°C,0%,0,0分钟
20211019111458,关,关,关,29°C,0%,0,0分钟
20211019111503,关,关,关,29°C,0%,0,0分钟
20211019111508,关,关,关,29°C,0%,0,0分钟
20211019111513,关,关,关,29°C,0%,0,0分钟
20211019111518,关,关,关,29°C,0%,0,0分钟
20211019111524,关,关,关,29°C,0%,0,0分钟
20211019111529,关,关,关,29°C,0%,0,0分钟
20211019111534,关,关,关,29°C,0%,0,0分钟
20211019111543,关,关,关,29°C,0%,0,0分钟
20211019111547,关,关,关,29°C,0%,0,0分钟
20211019111551,关,关,关,29°C,0%,0,0分钟
20211019111555,关,关,关,29°C,0%,0,0分钟
20211019111600,关,关,关,29°C,0%,0,0分钟
20211019111604,关,关,关,29°C,0%,0,0分钟
20211019111609,关,关,关,29°C,0%,0,0分钟
20211019115012,关,关,关,29°C,0%,0,0分钟
20211019115017,关,关,关,29°C,0%,22,0分钟
20211019132821,关,关,关,29°C,0%,0,0分钟
20211019135619,关,关,关,29°C,0%,0,0分钟
20211019135621,关,关,关,29°C,0%,8,0分钟
20211019141107,关,关,关,29°C,0%,0,0分钟
20211019153433,关,关,关,29°C,0%,0,0分钟
20211019153439,关,关,关,29°C,0%,36,0分钟
20211019153440,关,关,关,29°C,0%,32,0分钟
20211019153445,关,关,关,29°C,0%,31,0分钟
20211019153447,关,关,关,29°C,0%,32,0分钟
20211019153449,关,关,关,29°C,0%,31,0分钟
20211019153453,关,关,关,29°C,0%,32,0分钟
20211019153459,关,关,关,29°C,0%,42,0分钟
20211019153503,关,关,关,29°C,0%,43,0分钟
20211019153505,关,关,关,29°C,0%,40,0分钟
20211019153515,关,关,关,29°C,0%,32,0分钟
20211019153517,关,关,关,29°C,0%,31,0分钟
20211019153521,关,关,关,29°C,0%,32,0分钟
20211019153524,关,关,关,29°C,0%,31,0分钟
20211019153532,关,关,关,29°C,0%,30,0分钟
20211019153534,关,关,关,29°C,0%,28,0分钟
20211019153540,关,关,关,29°C,0%,30,0分钟
20211019153542,关,关,关,29°C,0%,31,0分钟
20211019153546,关,关,关,29°C,0%,30,0分钟
20211019153548,关,关,关,29°C,0%,28,0分钟
20211019153604,关,关,关,29°C,0%,30,0分钟
20211019153606,关,关,关,29°C,0%,31,0分钟
20211019153608,关,关,关,29°C,0%,30,0分钟
20211019153610,关,关,关,29°C,0%,31,0分钟
20211019153620,关,关,关,29°C,0%,30,0分钟
20211019153622,关,关,关,29°C,0%,31,0分钟
20211019153632,关,关,关,29°C,0%,30,0分钟
20211019153634,关,关,关,29°C,0%,31,0分钟
20211019153638,关,关,关,29°C,0%,30,0分钟
20211019153640,关,关,关,29°C,0%,31,0分钟
20211019153650,关,关,关,29°C,0%,30,0分钟
20211019153652,关,关,关,29°C,0%,31,0分钟
20211019153654,关,关,关,29°C,0%,25,0分钟
20211019153700,关,关,关,29°C,0%,21,0分钟
20211019153702,关,关,关,29°C,0%,20,0分钟
20211019153706,关,关,关,29°C,0%,18,0分钟
20211019153719,关,关,关,29°C,0%,17,0分钟
20211019153721,关,关,关,29°C,0%,18,0分钟
20211019153729,关,关,关,29°C,0%,17,0分钟
20211019153731,关,关,关,29°C,0%,18,0分钟
20211019153737,关,关,关,29°C,0%,17,0分钟
20211019153739,关,关,关,29°C,0%,18,0分钟
20211019153741,关,关,关,29°C,0%,11,0分钟
20211019153747,关,关,关,29°C,0%,0,0分钟
20211019153757,开,开,关,29°C,0%,0,25分钟
20211019153759,开,开,关,29°C,0%,43,25分钟
20211019153801,开,开,关,29°C,0%,48,25分钟
20211019153825,开,开,关,29°C,0%,50,25分钟
20211019153831,开,开,关,29°C,0%,48,25分钟
20211019153833,开,开,关,29°C,0%,51,25分钟
20211019153835,开,开,关,29°C,0%,50,25分钟
20211019153837,开,开,关,29°C,0%,48,25分钟
20211019153906,开,开,关,29°C,0%,50,25分钟
20211019153910,开,开,关,29°C,0%,51,25分钟
20211019153912,开,开,关,29°C,0%,50,25分钟
20211019153914,开,开,关,29°C,0%,51,25分钟
20211019153921,开,开,关,29°C,0%,51,25分钟
20211019153940,开,开,关,29°C,0%,50,25分钟
20211019153942,开,开,关,29°C,0%,48,25分钟
20211019153944,开,开,关,29°C,0%,51,25分钟
20211019153948,开,开,关,29°C,0%,50,25分钟
20211019153952,开,开,关,29°C,0%,51,25分钟
20211019154000,开,开,关,29°C,0%,50,25分钟
20211019154002,开,开,关,29°C,0%,51,25分钟
20211019154018,开,开,关,29°C,0%,50,25分钟
20211019154020,开,开,关,29°C,0%,51,25分钟
20211019154024,开,开,关,29°C,0%,50,25分钟
20211019154026,开,开,关,29°C,0%,42,25分钟
20211019154028,开,开,关,29°C,0%,43,25分钟
20211019154030,开,开,关,29°C,0%,42,25分钟
20211019154032,开,开,关,29°C,0%,43,25分钟
20211019154043,开,开,关,29°C,0%,42,25分钟
20211019154045,开,开,关,29°C,0%,43,25分钟
20211019154053,开,开,关,29°C,0%,42,25分钟
20211019154055,开,开,关,29°C,0%,43,25分钟
20211019154059,开,开,关,29°C,0%,42,25分钟
20211019154101,开,开,关,29°C,0%,41,25分钟
20211019154107,开,开,关,29°C,0%,42,25分钟
20211019154109,开,开,关,29°C,0%,43,25分钟
20211019154111,开,开,关,29°C,0%,41,25分钟
20211019154113,开,开,关,29°C,0%,43,25分钟
20211019154125,开,开,关,29°C,0%,42,25分钟
20211019154127,开,开,关,29°C,0%,41,25分钟
20211019154129,开,开,关,29°C,0%,42,25分钟
20211019154135,开,开,关,29°C,0%,41,25分钟
20211019154142,开,开,关,29°C,0%,42,25分钟
20211019154143,开,开,关,29°C,0%,41,25分钟
20211019154145,开,开,关,29°C,0%,43,25分钟
20211019154147,开,开,关,29°C,0%,42,25分钟
20211019154149,开,开,关,29°C,0%,43,25分钟
20211019154157,开,开,关,29°C,0%,42,25分钟
20211019154203,开,开,关,29°C,0%,43,25分钟
20211019154209,开,开,关,29°C,0%,42,25分钟
20211019154211,开,开,关,29°C,0%,43,25分钟
20211019154215,开,开,关,29°C,0%,42,25分钟
20211019154222,开,开,关,29°C,0%,43,25分钟
20211019154226,开,开,关,29°C,0%,42,25分钟
20211019154230,开,开,关,29°C,0%,43,25分钟
20211019154242,开,开,关,29°C,0%,42,25分钟
20211019154250,开,开,关,29°C,0%,43,25分钟
20211019154254,开,开,关,29°C,0%,42,25分钟
20211019154256,开,开,关,29°C,0%,42,31分钟
20211019154300,开,开,关,28°C,0%,42,31分钟
20211019154302,开,开,关,28°C,0%,42,29分钟
20211019154304,开,开,关,29°C,0%,43,29分钟
20211019154308,开,开,关,29°C,0%,42,29分钟
20211019154312,开,开,关,29°C,0%,43,29分钟
20211019154314,开,开,关,29°C,0%,42,29分钟
20211019154316,开,开,关,29°C,0%,43,29分钟
20211019154318,开,开,关,29°C,0%,42,29分钟
20211019154320,开,开,关,29°C,0%,43,29分钟
20211019154322,开,开,关,29°C,0%,42,29分钟
20211019154324,开,开,关,29°C,0%,43,29分钟
20211019154326,开,开,关,29°C,0%,42,29分钟
20211019154328,开,开,关,29°C,0%,43,29分钟
20211019154334,开,开,关,29°C,0%,42,29分钟
20211019154336,开,开,关,29°C,0%,43,29分钟
20211019154346,开,开,关,29°C,0%,42,29分钟
20211019154352,开,开,关,29°C,0%,42,28分钟
20211019154354,开,开,关,29°C,0%,43,28分钟
20211019154403,开,开,关,29°C,0%,42,28分钟
20211019154405,开,开,关,29°C,0%,43,28分钟
20211019154419,开,开,关,29°C,0%,42,28分钟
20211019154421,开,开,关,29°C,0%,43,28分钟
20211019154435,开,开,关,29°C,0%,42,28分钟
20211019154439,开,开,关,29°C,0%,43,28分钟
